CustomerID,Recency,Frequency,TotalQuantity,AvgUnitPrice,Monetary,DBSCAN_Labels
12348.0,75,4,2341,5.764838709677419,1797.24,0
12349.0,19,1,631,8.289041095890411,1757.55,0
12350.0,310,1,197,3.841176470588235,334.4,0
12352.0,36,8,536,15.93070588235294,2506.04,0
12353.0,204,1,20,6.074999999999999,89.0,0
12354.0,232,1,530,4.5037931034482765,1079.4,0
12355.0,214,1,240,4.203846153846154,459.4,0
12356.0,23,3,1591,3.201186440677966,2811.43,0
12358.0,2,2,248,8.27421052631579,1168.06,0
12360.0,52,3,1165,3.54968992248062,2662.06,0
12361.0,287,1,91,3.335,189.9,0
12363.0,110,2,408,2.3117391304347827,552.0,0
12364.0,8,4,1506,1.910235294117647,1313.1,0
12365.0,291,2,174,17.150454545454547,641.38,0
12367.0,4,1,173,3.2,168.9,0
12370.0,51,4,2353,2.800299401197605,3545.69,0
12371.0,45,2,591,3.8742857142857146,1887.96,0
12372.0,72,3,794,3.001346153846154,1298.04,0
12373.0,311,1,197,4.582142857142857,364.6,0
12374.0,25,1,342,4.21969696969697,742.9300000000001,0
12375.0,11,2,178,6.912941176470589,457.5,0
12377.0,315,2,944,2.718831168831169,1628.12,0
12379.0,82,2,407,2.86625,852.24,0
12380.0,22,4,1127,3.378653846153846,2724.81,0
12381.0,5,5,808,4.683218390804598,1845.31,0
12383.0,185,5,1532,3.086969696969697,1850.56,-1
12384.0,29,2,126,7.87925925925926,585.27,0
12386.0,338,2,354,2.391,401.9,0
12388.0,16,6,1462,2.7777,2780.66,0
12390.0,80,1,353,3.996875,549.84,0
12391.0,22,1,300,2.4599,460.89,0
12393.0,72,4,816,2.2796875,1582.6,0
12394.0,64,2,819,3.3707407407407404,1272.48,0
12395.0,19,12,2118,3.9688461538461537,3018.63,0
12397.0,36,2,1263,3.4682539682539684,2409.9,0
12398.0,46,1,1394,1.992705882352941,1635.66,0
12399.0,119,4,1178,2.1145762711864404,1108.65,0
12401.0,303,1,11,9.68,84.3,0
12402.0,323,1,94,3.290909090909091,225.6,0
12403.0,50,1,96,7.080000000000001,427.7,0
12405.0,149,1,857,3.54425925925926,1710.39,0
12406.0,22,2,1818,2.487047619047619,3415.3,0
12407.0,50,5,1416,3.2674025974025973,1708.12,0
12408.0,33,5,1409,3.0228571428571427,2888.55,0
12410.0,309,2,211,6.335384615384616,693.3299999999999,0
12412.0,75,3,829,2.7137704918032783,1226.88,0
12413.0,67,3,286,4.798421052631579,758.1,0
12414.0,217,3,300,8.57,562.41,0
12417.0,3,9,1552,5.337916666666666,3649.1,0
12418.0,113,1,407,3.5644117647058824,668.58,0
12420.0,64,1,345,4.707241379310345,600.39,0
12421.0,16,4,484,4.520222222222222,807.04,0
12422.0,96,3,370,3.26025641025641,803.5600000000001,0
12423.0,1,8,1339,2.9136,1859.31,0
12424.0,163,2,740,2.780666666666667,1760.96,0
12425.0,78,1,496,2.5644444444444443,777.2,0
12426.0,195,1,258,3.936333333333333,582.73,0
12427.0,22,3,533,4.589032258064516,825.8,0
12430.0,43,1,117,6.225454545454546,256.4,0
12434.0,85,2,394,3.6726,806.14,0
12436.0,100,1,211,5.2675,509.01,0
12438.0,14,2,1180,3.894897959183673,2906.85,0
12441.0,367,1,121,3.700909090909091,173.55,0
12442.0,3,1,182,3.34,172.06,0
12445.0,22,1,62,7.9875,133.4,0
12446.0,58,1,351,4.352631578947368,1002.31,0
12447.0,243,1,190,3.5742307692307693,476.49,0
12448.0,44,1,243,5.951818181818182,449.45,0
12450.0,156,2,128,1.6175,197.88,0
12452.0,17,2,185,4.485,430.57,0
12453.0,134,1,473,2.393255813953488,707.09,0
12454.0,56,1,1006,7.282,3528.34,-1
12455.0,73,6,2089,3.173333333333334,2466.86,0
12456.0,44,3,1633,3.62456,3181.04,0
12457.0,66,7,843,5.357096774193548,2363.23,0
12458.0,71,2,506,4.326315789473685,947.4,0
12461.0,94,2,287,4.258857142857143,826.88,0
12462.0,19,2,536,4.689516129032258,1189.59,0
12463.0,53,4,776,3.0434939759036146,1344.78,0
12464.0,10,8,112,11.832758620689654,1212.05,0
12465.0,17,2,479,2.76,742.1899999999999,0
12468.0,188,2,366,3.515,729.5400000000001,0
12475.0,54,1,535,2.941111111111111,723.38,0
12478.0,4,1,236,4.537777777777778,680.99,0
12479.0,11,1,385,2.6687096774193546,527.2,0
12480.0,28,4,1707,3.1344155844155845,3281.63,0
12483.0,17,8,1110,5.198133333333334,2484.98,0
12488.0,10,3,529,3.7347272727272727,1298.66,0
12489.0,336,1,105,5.908,334.93,0
12491.0,39,1,260,3.376923076923077,460.4,0
12492.0,63,2,192,3.3475,263.21000000000004,0
12493.0,166,2,207,4.309090909090909,433.74,0
12494.0,16,7,707,3.862207792207792,1246.1,0
12497.0,82,1,1236,2.06,1043.1,0
12498.0,21,3,159,4.197826086956522,403.7000000000001,0
12501.0,337,1,1783,2.4126845637583894,2169.39,-1
12504.0,18,2,90,9.011111111111113,482.05,0
12506.0,233,1,23,3.1956521739130435,73.5,0
12507.0,134,3,894,4.862857142857143,1304.81,0
12508.0,26,2,272,1.720434782608696,398.27,0
12509.0,284,1,55,5.564285714285715,176.5,0
12510.0,143,2,353,4.263333333333334,982.57,0
12512.0,66,2,99,2.5794117647058825,138.03,0
12513.0,113,1,462,2.180571428571428,612.29,0
12514.0,267,1,440,3.296862745098039,1017.68,0
12515.0,353,1,131,6.78125,383.7,0
12516.0,78,2,875,2.725769230769231,1312.06,0
12517.0,28,5,1371,2.3527464788732395,2502.84,0
12518.0,1,5,1318,2.837177419354839,2056.89,0
12519.0,64,1,183,2.9911111111111115,340.84,0
12520.0,79,5,1439,3.288421052631579,2634.26,0
12521.0,143,1,309,2.995789473684211,599.68,0
12522.0,39,2,194,5.0008333333333335,192.72,0
12523.0,19,11,865,4.935471698113207,1789.77,0
12526.0,1,3,632,3.3538028169014087,1316.66,0
12527.0,82,3,234,2.9294444444444445,348.71000000000004,0
12528.0,9,6,756,5.487934782608695,1933.48,0
12530.0,60,4,913,3.885454545454545,1662.28,0
12531.0,15,1,45,3.8094117647058825,125.22,0
12532.0,30,1,153,3.698125,349.83000000000004,0
12534.0,131,1,651,3.035396825396825,1089.18,0
